university,course,ucas_code,alevel_grades,ib_points_raw
University of Oxford,Classical Archaeology And Ancient History With Foundation Year,VV1F,BBB,35 points
University of Oxford,Classics And English With Beginner'S Latin And Greek With Foundation Year,QQHF,BBB,35 points
University of Oxford,Classics And English With Foundation Year,QQ3F,BBB,35 points
University of Oxford,Classics With Foundation Year,Q80F,BBB,35 points
University of Oxford,English Language And Literature With Foundation Year,Q30F,BBB,35 points
University of Oxford,Hebrew,Q480,AAA,39 points
University of Oxford,History And Beginners' German,RV21,AAA,38 points
University of Oxford,History And English With Foundation Year,VQ1F,BBB,35 points
University of Oxford,History With Foundation Year,V10F,BBB,35 points
University of Oxford,Law With Foundation Year,M10F,BBB,35 points
University of Oxford,Philosophy And Theology With Foundation Year,VV5F,BBB,35 points
University of Oxford,"Philosophy, Politics And Economics With Foundation Year",L0VF,BBB,35 points
University of Oxford,Theology And Religion With Foundation Year,V60F,BBB,35 points
University College London,Arts And Sciences With Study Abroad,Y001,A*AA,39 points
University College London,Bsc Experimental Linguistics,Q102,AAB,36 points
University College London,Bsc Experimental Linguistics (International Programme),Q103,AAB,36 points
University College London,Bulgarian And Czech,R7BC,ABB,34 points
University College London,Bulgarian And Danish,R7BD,ABB,34 points
University College London,Bulgarian And Dutch,R7BA,ABB,34 points
University College London,Bulgarian And Finnish,R7BF,ABB,34 points
University College London,Bulgarian And French,R7FB,AAB,36 points
University College London,Bulgarian And German,R7RG,AAB,36 points
University College London,Bulgarian And Hebrew,R7BH,ABB,34 points
University College London,Bulgarian And Hungarian,R7RH,ABB,34 points
University College London,Bulgarian And Italian,R7RI,AAB,36 points
University College London,Bulgarian And Norwegian,R7RN,ABB,34 points
University College London,Bulgarian And Polish,R7BP,ABB,34 points
University College London,Bulgarian And Portuguese,R7RP,ABB,34 points
University College London,Bulgarian And Romanian,R7GO,ABB,34 points
University College London,Bulgarian And Russian,R7GR,ABB,34 points
University College London,Bulgarian And Serbian/Croatian,R7SB,ABB,34 points
