university,course,ucas_code,degree_level,study_mode,duration,alevel_grades,alevel_details,ib_points_raw,ib_points_numeric,ib_details,course_url,provider_url,description,qualification,required_subjects,subject_req_status
University of Oxford,Ancient And Modern History With Foundation Year,V11F,Degree level: Undergraduate,Full-time including foundation year,4 years,BBB,Excluding General Studies (if taken),35 points,35.0,With 555 at HL.,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/fyhumanities,http://www.ox.ac.uk/study,"Are you a student from the UK interested in studying Ancient and Modern History but your personal or educational circumstances have meant you are unlikely to achieve the grades typically required for Oxford courses? If so, then Ancient and Modern History with Foundation Year might be the course for you.

The Foundation Year is completely free for UK students and is designed to be a one-year intensive academic course which will bridge any gap between school and our academically challenging undergraduate courses. The programme is carefully designed to build and develop your study skills, subject knowledge and capacity for independent study. Students that pass the course will be awarded a nationally recognised Certificate in Higher Education (CertHE) qualification. If you pass the course at the required level, you will be automatically admitted into Oxford as an undergraduate student if you wish to be, without the need to re-apply. For more information on this course please visit www.ox.ac.uk/fyhumanities.

The Ancient and Modern History undergraduate course enables students to study history from the Bronze Age Mediterranean and Near East, through the Roman Empire, middle ages and early modern period, right up to British, European and World history in the present day. Fruitful comparisons between societies abound, and the methods by which we study them are mutually illuminating. For more information on this course please visit ox.ac.uk/ugham.

This course is for UK state school students who meet the eligibility criteria. For more information about the eligibility criteria please visit foundationyear.ox.ac.uk/eligibility.

International students are not eligible to apply.",Bachelor of Arts (with Honours) - BA (Hons),,unknown
University of Oxford,Arabic,T601,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,Excluding General Studies (if taken),39 points,39.0,with 6 6 6 at HL,https://ox.ac.uk/ugos,http://www.ox.ac.uk/study,"Asian and Middle Eastern Studies is unique in its sole focus on introducing students to civilisations that are different from the Western ones upon which the curriculum in most British schools and colleges is based. The courses present both the major traditions and cultural trends of the regions studied and, in most cases, their modern developments. All courses include a combination of linguistic, literary, historic and cultural studies and there is a wide range of options in fields such as art and archaeology, history, literature, philosophy, religion and modern social studies. For more information on this course please visit ox.ac.uk/ugos.",Bachelor of Arts (with Honours) - BA (Hons),,unknown
University of Oxford,Archaeology And Anthropology,LV64,Degree level: Undergraduate,Full-time,3 years,AAA,Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL,https://ox.ac.uk/ugarchant,http://www.ox.ac.uk/study,"Archaeology and anthropology together encompass the study of humankind from the origins of the human species to the present day. Both disciplines have a long history: archaeology grew from 18th-century antiquarianism, while anthropology began even earlier in the first days of colonial encounter. Today, both subjects involve a range of sophisticated approaches shared with the arts, social sciences and physical sciences. For more information on this course please visit ox.ac.uk/ugarchant.",Bachelor of Arts (with Honours) - BA (Hons),,unknown
University of Oxford,Asian And Middle Eastern Studies With Classics,T9Q8,Degree level: Undergraduate,Full-time,3 to 4 years,AAA,Excluding General Studies (if taken),39 points,39.0,with 6 6 6 at HL,https://ox.ac.uk/ugos,http://www.ox.ac.uk/study,"Asian and Middle Eastern Studies is unique in its sole focus on introducing students to civilisations that are different from the Western ones upon which the curriculum in most British schools and colleges is based. The courses present both the major traditions and cultural trends of the regions studied and, in most cases, their modern developments. All courses include a combination of linguistic, literary, historic and cultural studies and there is a wide range of options in fields such as art and archaeology, history, literature, philosophy, religion and modern social studies. For more information on this course please visit ox.ac.uk/ugos.",Bachelor of Arts (with Honours) - BA (Hons),,unknown
University of Oxford,Assyriology,Q401,Degree level: Undergraduate,Full-time,3 years,AAA,Excluding General Studies (if taken),39 points,39.0,with 6 6 6 at HL,https://ox.ac.uk/ugos,http://www.ox.ac.uk/study,"Asian and Middle Eastern Studies is unique in its sole focus on introducing students to civilisations that are different from the Western ones upon which the curriculum in most British schools and colleges is based. The courses present both the major traditions and cultural trends of the regions studied and, in most cases, their modern developments. All courses include a combination of linguistic, literary, historic and cultural studies and there is a wide range of options in fields such as art and archaeology, history, literature, philosophy, religion and modern social studies. For more information on this course please visit ox.ac.uk/ugos.",Bachelor of Arts (with Honours) - BA (Hons),,unknown
University of Oxford,Beginners' German And Linguistics,QR12,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL,https://ox.ac.uk/ugmll,http://www.ox.ac.uk/study,"This course allows students to study one modern language in depth together with linguistics, the study of language itself. Part of your course will consist of developing your practical language skills to a high level, and you will also explore the literature and culture of the relevant language.

In your study of linguistics, you will be introduced to the analysis of the nature and structure of human language (including topics such as how words and sentences are formed, how we make and hear sounds, how languages change and vary and how language is organised in the brain) and you will apply these ideas to the study of your chosen language. For more information on this course please visit ox.ac.uk/ugmll.",Bachelor of Arts (with Honours) - BA (Hons),,unknown
University of Oxford,Beginners' Italian And Czech (With Slovak),RR73,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,A in Modern Language(s) (if taken to A-level) Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL Including HL Modern Language(s) (if taken),https://ox.ac.uk/ugml,http://www.ox.ac.uk/study,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day. A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies. For more information on this course please visit ox.ac.uk/ugml.",Bachelor of Arts (with Honours) - BA (Hons),Modern Language,specified
University of Oxford,Beginners' Italian And Linguistics,QR13,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL,https://ox.ac.uk/ugmll,http://www.ox.ac.uk/study,"This course allows students to study one modern language in depth together with linguistics, the study of language itself. Part of your course will consist of developing your practical language skills to a high level, and you will also explore the literature and culture of the relevant language. 

In your study of linguistics, you will be introduced to the analysis of the nature and structure of human language (including topics such as how words and sentences are formed, how we make and hear sounds, how languages change and vary and how language is organised in the brain) and you will apply these ideas to the study of your chosen language. For more information on this course please visit ox.ac.uk/ugmll.",Bachelor of Arts (with Honours) - BA (Hons),,unknown
University of Oxford,Beginners' Italian And Modern Greek,RR93,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,A in Modern Language(s) (if taken to A-level) Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL Including HL Modern Language(s) (if taken),https://ox.ac.uk/ugml,http://www.ox.ac.uk/study,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day. A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies. For more information on this course please visit ox.ac.uk/ugml.",Bachelor of Arts (with Honours) - BA (Hons),Modern Language,specified
University of Oxford,Beginners' Italian And Portuguese,RR53,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,A in Modern Language(s) (if taken to A-level) Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL Including HL Modern Language(s) (if taken),https://ox.ac.uk/ugml,http://www.ox.ac.uk/study,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day. A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies. For more information on this course please visit ox.ac.uk/ugml.",Bachelor of Arts (with Honours) - BA (Hons),Modern Language,specified
University of Oxford,Beginners' Italian And Russian,RRJ7,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,A in Modern Language(s) (if taken to A-level) Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL Including HL Modern Language(s) (if taken),https://ox.ac.uk/ugml,http://www.ox.ac.uk/study,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day. A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies. For more information on this course please visit ox.ac.uk/ugml.",Bachelor of Arts (with Honours) - BA (Hons),Modern Language,specified
University of Oxford,Beginners' Italian And Spanish,RR43,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,A in Modern Language(s) (if taken to A-level) Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL Including HL Modern Language(s) (if taken),https://ox.ac.uk/ugml,http://www.ox.ac.uk/study,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day. A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies. For more information on this course please visit ox.ac.uk/ugml.",Bachelor of Arts (with Honours) - BA (Hons),Modern Language,specified
University of Oxford,Beginners' Modern Greek And Czech (With Slovak),RR97,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,A in Modern Language(s) (if taken to A-level) Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL Including HL Modern Language(s) (if taken),https://ox.ac.uk/ugml,http://www.ox.ac.uk/study,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day. A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies. For more information on this course please visit ox.ac.uk/ugml.",Bachelor of Arts (with Honours) - BA (Hons),Modern Language,specified
University of Oxford,Beginners' Modern Greek And Linguistics,QQ72,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL,https://ox.ac.uk/ugmll,http://www.ox.ac.uk/study,"This course allows students to study one modern language in depth together with linguistics, the study of language itself. Part of your course will consist of developing your practical language skills to a high level, and you will also explore the literature and culture of the relevant language. 

In your study of linguistics, you will be introduced to the analysis of the nature and structure of human language (including topics such as how words and sentences are formed, how we make and hear sounds, how languages change and vary and how language is organised in the brain) and you will apply these ideas to the study of your chosen language. For more information on this course please visit ox.ac.uk/ugmll.",Bachelor of Arts (with Honours) - BA (Hons),,unknown
University of Oxford,Beginners' Portuguese And Czech (With Slovak),RRN7,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,A in Modern Language(s) (if taken to A-level) Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL Including HL Modern Language(s) (if taken),https://ox.ac.uk/ugml,http://www.ox.ac.uk/study,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day. A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies. For more information on this course please visit ox.ac.uk/ugml.",Bachelor of Arts (with Honours) - BA (Hons),Modern Language,specified
University of Oxford,Beginners' Portuguese And Linguistics,RQ5D,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL,https://ox.ac.uk/ugmll,http://www.ox.ac.uk/study,"This course allows students to study one modern language in depth together with linguistics, the study of language itself. Part of your course will consist of developing your practical language skills to a high level, and you will also explore the literature and culture of the relevant language. 

In your study of linguistics, you will be introduced to the analysis of the nature and structure of human language (including topics such as how words and sentences are formed, how we make and hear sounds, how languages change and vary and how language is organised in the brain) and you will apply these ideas to the study of your chosen language. For more information on this course please visit ox.ac.uk/ugmll.",Bachelor of Arts (with Honours) - BA (Hons),,unknown
