university,med_course,med_alevel_req,med_ib_req,med_gcse_req,med_admission_test,med_interview_type,med_teaching_style,med_work_experience,med_singapore_approved,med_url,med_location,med_intl_applicants,med_intl_offers,med_intl_offer_pct,med_singapore_recognised_at
Anglia Ruskin University,MBChB Medicine (A100),"Grades AAA at A level taken within five academic years prior to the year of entry to include Chemistry or Biology; and one of either Biology, Chemistry, Maths or Physics, plus one other.",A minimum of 36 points is accepted. 666 at Higher Level in Biology and/or Chemistry plus one other science and including Mathematics or English. Must be taken within five academic years prior to the year of entry.,"5 GCSEs at grade A*-B (9-6), including English Language, Maths and two science subjects.",Candidates ranked by UCAT score for selection to interview.,Multiple Mini Interview (MMI).,We offer an integrated clinical and pre-clinical medicine course that combines theoretical knowledge with practical experience from the outset. The course emphasises early clinical exposure and community-based learning.,"Clinical work experience is not mandatory. We consider all forms of work experience where you will have gained transferable skills such as communication, problem solving, care, working with others and professionalism.",Not Approved,https://www.medschools.ac.uk/courses/anglia-ruskin-university-mbchb-medicine-a100/,Chelmsford,,,,
Aston University,MBChB Medicine (A100),"A*AA, in three subjects including Chemistry and Biology where the A* must be in Chemistry or Biology (including passing the practical elements) and a third subject that may be any other subject, excluding General Studies and Critical Thinking.","Total of 37 points with grades of 7,6,6 in three subjects which must include Chemistry (HL6 or HL7) and Biology (HL6 or HL7) at Higher Level and the remaining points from Standard Level subjects and Diploma Programme Core. Either Chemistry or Biology must be at Higher Level grade 7.","A minimum of six GCSEs/IGCSEs at grade 6 which must include English Language, Mathematics, Chemistry, Biology or Double Science (or overseas equivalent). However, most of those who rank high enough to be called for interview have grades 7, 8 and 9 at GCSE level.",UCAT total score is used in ranking for calling to interview and in making offers post interview. We take applications from candidates with SJT Bands 1 to 4.,Multiple Mini Interview (MMI). The MMIs are online and  normally take place between December and March in your year of application. Applicants who rank high enough to be called for interview will receive an invitation with a number of dates to select from. A time for the MMI to take place will then be allocated to the applicant.,"This course uses a combination of Problem-Based Learning (PBL) and Case-based learning (CBL). What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements. What is Problem-Based Learning? The main emphasis of problem based learning (PBL) is on small group working, centred around a  €˜problem' or scenario. These scenarios are hypothetical patient cases. This integrated approach, centred on PBL, and grounded in a robust scientific understanding, strong clinical knowledge and highly developed communication and clinical reasoning skills, allows you to develop life-long skills that will be crucial to your success as a doctor.",Clinical work experience is not mandatory. We understand that it is difficult for some candidates to have work experience in the healthcare setting but we expect that they have looked at some of the online work experiences which are available.,Not Approved,https://www.medschools.ac.uk/courses/aston-university-mbchb-medicine-a100/,Birmingham,227.0,59.0,25.99,No
"Bangor University, North Wales Medical School",BMBS Medicine (A100),"A Level grades AAA (or equivalent) required. This must include Biology and an additional science from the list below: Chemistry Physics Economics Maths / Further Maths / Statistics You will need to pass the science practical element of the A-Level if this is part of your programme of study. Where grades AAA (or equivalent at A Level are required, compulsory sciences must be at grade A or above). General Studies, Key Skills and other similar equivalent subjects are not accepted. Other non-standard subjects are reviewed on a case-by-case basis and may not be accepted. Please see widening participation section on this page for contextual offer detail.","36 overall (excluding Theory of Knowledge and the Extended Essay) including 19 at Higher Level. Must include grade 6 in Biology and Chemistry. Grade 7 in SL Biology or Chemistry can be taken in place of Higher Level Biology or Chemistry if you also have grade 6 in HL Maths, Physics or Statistics. Graduates with Bachelor/MSc/PhD: 2.1 degree or higher and 32 overall with Grade 5s including Biology and Chemistry.",English Language or Welsh Language at grade B/6 Double Science at grades BB/66 (or grades B/6 in both Biology and Chemistry) Maths grade B/6 Four other GCSEs at grades B/6,"UCAT. You must achieve UCAT prior to submitting your application. You must sit the UCAT in the year of application. We do not have a minimum threshold score; however, we will use UCAT scores as part of our selection process.",Multiple-mini interviews (MMI),"What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.",Clinical experience not required. Experience of caring/volunteering/work may be assessed at interview.,Not Approved,https://www.medschools.ac.uk/courses/bangor-university-bmbs-medicine-a100/,Bangor,,,,
Brighton and Sussex Medical School,BM BS Medicine (A100),AAA – including Biology and Chemistry.,36 points overall to include both Biology and Chemistry at Higher Level 6.,Maths and English at grade 6.,"We use the UCAT, after assessing academic qualifications, to select for interview.  For our 2026 entry admissions cycle, you must achieve an SJT Band score of 1, 2 or 3. We will score the UCAT out of 2700. This is broken down to 900 marks for Verbal Reasoning, 900 marks for Decision Making and 900 marks for Quantitative Reasoning. We then rank all applicants according to their total score out of 2700 and work down the rankings to fill our interview places. UCAT may also be used as a final discriminator if needed after interview.",Multiple-mini  interviews.,"BSMS has an integrated curriculum designed to develop your knowledge, academic and clinical skills, and instil a professional approach throughout the degree.",Clinical work experience is not mandatory. BSMS has developed a virtual work experience course recognised by UK medical schools.,Not Approved,https://www.medschools.ac.uk/courses/brighton-and-sussex-medical-school-bm-bs-medicine-a100/,Brighton and Hove,510.0,20.0,3.92,No
Brunel University of London,MBBS Medicine (A100),"AAA-AAB including a grade A in Biology or Chemistry, grade A in a second science (Chemistry, Biology, Physics or Maths) and grade A/B in a third subject (excluding General Studies/Critical Thinking).","36 overall including 6 and 5 at HL in Biology OR Chemistry and one of Chemistry, Biology, Physics or Maths.","All applicants must have a minimum 5 GCSE's at grade B/6 including grade B/5 in Maths, and BB/66 in a minimum of 2 of the following subjects: Double Science, Biology, Chemistry or Physics.",UCAT and GAMSAT accepted.,Multiple Mini Interview (MMI).,What is Team-Based Learning? Team-Based Learning (TBL) is an active learning method that engages students in a structured approach. Students collaborate with their team to solve problems and receive immediate feedback.,Clinical work experience is not mandatory.,Not Approved,https://www.medschools.ac.uk/courses/brunel-university-medical-school-mbbs-medicine-a100/,London,,,,
Cardiff University,MBBCh Medicine (A100),AAA. Must include Biology and Chemistry. You will need to pass the science practical element of the A-level if this is part of your programme of study.,"36 overall (excluding Theory of Knowledge and the Extended Essay) including 19 at HL. Must include grade 6 in Biology and Chemistry. Grade 7 in SL Biology or Chemistry can be taken in place of HL Biology or Chemistry if you also have grade 6 in HL Maths, Physics, or Statistics. We do not accept IB repeats. If you are a graduate applicant, you must have or be working towards a 2:1 (Hons) in your degree and have 32 overall in the IB, including subject requirements at Standard and Higher level.","English language or Welsh language at GCSE grade B/6 or an equivalent (if you require a Student visa, you must ensure your language qualification complies with UKVI requirements), and GCSE Double Science at grades BB/66 (or grade B/6 in Biology and  Chemistry separately), and GCSE Maths grade B/6, and five other  GCSEs at grade B/6, or equivalent qualifications (level, subjects and grade).",UCAT,Multiple Mini Interviews.,"What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.","Clinical experience is not required. Experience and reflection in a caring environment can be demonstrated by reflecting on any work experience carried out (examples include care homes, helping out with younger pupils in school, helping out with clubs, etc).",Yes,https://www.medschools.ac.uk/courses/mbchb-medicine-a100-9/,Cardiff,660.0,73.0,11.06,Yes
Edge Hill University,MBChB Medicine (A100),"Grades AAA at A Level are required. These must include Biology and Chemistry and one other subject. While Biology and Chemistry are both required at Grade A or above, where Grade A* is achieved in either Biology or Chemistry (or both Biology and Chemistry), the third A Level subject will be accepted at Grade B or above. A levels in General Studies, Critical Reasoning Citizenship and Key Skills will not be accepted.","36 points or more to include three subjects at higher level, with at least 6 points in Biology, 6 points in Chemistry and one other subject, plus three further subjects at standard level with a minimum of 5 points each. If studying International Baccalaureate Biology and/or International Baccalaureate Chemistry in combination with other A Level subjects, this can be accepted as long as 6 points at higher level are achieved in these subjects.","At least five GCSEs at Grade B or Grade 6 or above (or equivalent) at the time of application, including Biology, Chemistry, English Language and Mathematics. GCSE Double Science Awards, at Grades 6-6 or B-B or above, will also be accepted in lieu of separate GCSEs in Biology and Chemistry.",Applicants who meet the minimum academic criteria will be ranked according to their UCAT scores. A UCAT threshold will be set depending on the number of interviews to be held. Applicants who meet the UCAT threshold will be invited to interview. The UCAT threshold set by the University may differ from year to year as it is dependent on the scores achieved by those who apply to us in each admissions cycle. Any candidate scoring within band 4 in the Situational Judgement Test will be automatically rejected.,Multiple mini interviews.,"This course uses both team-based and case-based learning teaching methods. What is Team-Based Learning? Team-Based Learning (TBL) is an active learning method that engages students in a structured approach. Students collaborate with their team to solve problems and receive immediate feedback. What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.",Work experience is not required.,Not Approved,https://www.medschools.ac.uk/courses/edge-hill-mbchb-medicine-a100/,Ormskirk,,,,
"Higher Level – at least 6, 6, 6 including Chemistry and one of either Biology, Physics or Maths. Standard Level – Three appropriate subjects at standard level with average grade 6. 36 points overall. TOK excluded.",MB BCh BAO Medicine (A100),"AAA at A-level + A in a fourth AS-level subject including A-level Chemistry plus at least one other A-level from Biology/Human Biology, Mathematics or Physics. If not offered at A-level then Biology/Human Biology grade A as a 4th AS-level or grade B as a 5th AS-level. Grade A in the EPQ or Advanced Welsh Baccalaureate or a grade B in a 4th A-level will be acceptable in lieu of the 4th AS-level. OR A*AA at A-level including Chemistry and Biology/Human Biology. OR A*AA at A-level including Chemistry and either Mathematics or Physics + AS-level Biology grade B.",Please contact the admission team for more detail.,"GCSE Mathematics minimum grade C/4, GCSE English Language grade C/4 and either GCSE Physics minimum grade C/4 or GCSE Double Award Science minimum grades CC/44 are required if these subjects are not offered at AS-level or A-level. In considering applications, GCSE performance in the best 9 subjects will be scored with 4 points awarded for an A* (grade 9 on the 9-1 grading scale), 3 points for an A (grades 7 and 8), 2 points for a B (grade 6) and 1 point for a C*/C (grades 4 and 5). Please note that only GCSEs completed in Year 11 and Year 12 (Year 10 and Year 11 in England and Wales) will be counted for scoring purposes.",Not Found,Multiple mini-interviews.,"What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.",No specific requirements. Experience encouraged in healthcare-related environments and volunteering.,Not Approved,https://www.medschools.ac.uk/courses/mb-bch-bao-medicine-a100/,Belfast,,,,
Hull York Medical School,MB BS Medicine (A100),"Applicants must complete three A Levels, studied and awarded concurrently, to include both Biology and Chemistry. All third subjects are accepted excluding General Studies, Applied Science, Citizenship, and Critical Thinking, but must be distinct. We do not consider Biology and Human Biology to be distinct subjects. A Levels must be achieved within a three year period* Applicants may repeat or restart Year 12 a single time with no restrictions. Applicants who are repeating or who have repeated Year 13 must have achieved a minimum score of BBB in their A Levels in their initial sitting. We are unable to accept equivalence; a minimum score of B must have been achieved in all subjects. Applicants applying with predicted grades should have a prediction of no lower than AAB.** Applicants applying with achieved grades must have either met the offer requirement, or be resitting to achieve the offer requirement. *Where Biology and Chemistry were not taken in first sitting of A Levels, AAA must have been achieved in the first sitting with AA achieved in Biology and Chemistry within 1 year of subsequent study. **Applicants who are enrolled on one of our recognised longitudinal Widening Participation Programmes who are eligible for our Alternative Offer may apply with predicted grades of ABB. A Level + Welsh Baccalaureate Entry: Applicants must meet the essential entry requirements for all applicants. We will accept the Welsh Baccalaureate as equivalent to a third A Level. Applicants must complete three A Levels, or two A Levels plus the Welsh Baccalaureate, studied concurrently, to include both Biology and Chemistry at A Level. All third subjects are accepted excluding General Studies, Applied Science, Citizenship, and Critical Thinking, but must be distinct. We do not consider Biology and Human Biology to be distinct subjects. A Levels and the Welsh Baccalaureate must be completed within a three year period. Applicants may repeat or restart Year 12 a single time with no restrictions. Applicants who are repeating or who have repeated Year 13 must have achieved a minimum score of BBB in their A Levels, or A Levels + Welsh Baccalaureate, in their initial sitting. We are unable to accept equivalence; a minimum score of B must have been achieved in all subjects. Applicants applying with predicted grades should have a prediction of no lower than AAB.* Applicants applying with achieved grades must have either met the offer requirement, or be resitting to achieve the offer requirement. *Applicants who are eligible for our Alternative Offer may apply with a prediction of no lower than ABB. A Level + Single BTEC Entry Applicants must meet the essential entry requirements for all applicants We will accept a BTEC Level 3 National Extended Certificate as equivalent to a third A Level. Applicants must complete two A Levels plus a BTEC Level 3 National Extended Certificate, studied concurrently, to include both Biology and Chemistry at A Level. All third subjects are accepted excluding Applied Science but must be distinct. We do not consider Biology / Chemistry and Applied Science to be distinct subjects. A Levels and the BTEC Level 3 National Extended Certificate must be completed within a three year period Applicants may repeat or restart Year 12 a single time with no restrictions. Applicants who are repeating or who have repeated Year 13 must have achieved a minimum score of BB in their A Levels, and M in their BTEC Level 3 National Extended Certificate, in their initial sitting. We are unable to accept equivalence; a minimum score must have been achieved in all subjects. Applicants applying with predicted grades should have a prediction of no lower than AA plus Merit, or AB plus Distinction. Applicants applying with achieved grades must have either met the offer requirement, or be resitting to achieve the offer requirement.","Applicants must complete the International Baccalaureate with Biology and Chemistry at Higher Level. All third subjects are accepted. Applicants who did not complete a GCSE equivalent will be required to achieve Grade 5 in English Language A or English Lang/Lit A, and Maths at either Standard or Higher Level. The International Baccalaureate must be completed within a three year period. Applicants may repeat or restart Year 12 a single time with no restrictions. Applicants who are repeating or who have repeated Year 13 must have achieved a minimum score of 31, with 5,5,5 at Higher Level in their initial sitting. We are unable to accept equivalence; a minimum score of 5 must have been achieved in all subjects. Applicants applying with predicted grades should have a prediction of no lower than 35, with 6,6,5 at Higher Level, with 6 in Biology and Chemistry. Applicants applying with achieved grades must have either met the offer requirement, or be resitting to achieve the offer requirement.","Applicants must have achieved 6 GCSEs (or equivalent) in the grade range 9/A* – C/4 by the time of application* Applicants must have achieved, or be working towards, grade 6/B or better in GCSE English Language (or equivalent).** Applicants must have achieved, or be working towards, grade 6/B or better in GCSE Maths (or equivalent).** *applicants whose education system does not include an equivalent to GCSEs, or who have undertaken an approved Access programme, will be scored for interview selection according to an upscaled UCAT. **GCSE resits to achieve the entry requirement are accepted",UCAT decile and Situational Judgement Test Band performance are scored for selection for interview.,Online or in person multiple mini-interview – please review our website for further details.,"What is Problem-Based Learning? The main emphasis of problem-based learning (PBL) is on small group working, centred around a  €˜problem' or scenario. These scenarios are hypothetical patient cases. This integrated approach, centred on PBL, and grounded in a robust scientific understanding, strong clinical knowledge and highly developed communication and clinical reasoning skills, allows you to develop life-long skills that will be crucial to your success as a doctor.","Clinical experience is not required. We recommend that applicants have a range of relevant work experiences in health or social care settings or in areas that provide person facing interactions. Work experience will allow you to demonstrate at interview that you have a realistic understanding of Medicine, including the challenges of a medical career, the importance of teamwork and will help you to better understand some of the values, attitudes and behaviours essential to becoming a doctor.",Not Approved,https://www.medschools.ac.uk/courses/hull-york-medical-school-mb-bs-medicine-a100/,Hull and York,180.0,40.0,22.22,No
Imperial College London,MBBS Medicine (A100),Minimum AAA at A level including Chemistry and Biology plus a third subject. All qualifications have to be achieved in one sitting. Please note that the standard offer is likely to be A*AA with the A* in either Chemistry or Biology.,Minimum 38 points overall including 6 in Biology and Chemistry at Higher level. Grade 5 in Standard level English is required. All qualifications have to be achieved in one sitting. Please note that the standard offer is likely to be 39 points overall including 7 and 6 in Biology and Chemistry at Higher level.,Minimum of GCSE grade B in English Language or equivalent qualification. There is no other GCSE or Scottish Nationals requirement.,UCAT is used for shortlisting to interview.,In person and online multiple-mini interviews.,"Our newly redeveloped curriculum looks at technological developments in education and healthcare and expectations of medical practice within the NHS of the future, with teaching enriched by our internationally competitive research and clinical expertise. You will benefit from early exposure to clinical skills training and patient experience, as well as a focus on the application of research skills in phase two. A case-based learning approach integrates and translates scientific knowledge to clinical care and each module builds on the last, adding more depth and complexity. Successful students will graduate with both an MBBS and BSc qualification with this integrated course (you might see this referred to as intercalation ). Exceptional students may be offered the opportunity to include a PhD as part of their studies. We also offer an Intercalated BSc programme for external medical, dental and veterinary students to study at Imperial College London.",Clinical work experience is not required. Find more detail on work experience requirements on our website .,Yes,https://www.medschools.ac.uk/courses/imperial-college-london-mbbs-medicine-a100/,London,1185.0,46.0,3.88,Yes
