university,qs_global_rank,qs_global_score,the_rank,the_score
AECC University College,,,,
Abertay University,,,,
Aberystwyth University,745.5,,,
Anglia Ruskin University (ARU),,,,
Arts University Bournemouth,,,,
Arts University Plymouth,,,,
Aston University,395.0,,,
BIMM Music Institute Birmingham,,,,
Bangor University,566.0,,,
Bath Spa University,,,,
"Birkbeck College, University of London",388.0,,,
"Birkbeck, University of London",,,,
Birmingham City University,1100.5,,,
Birmingham Newman University,,,,
Bishop Grosseteste University,,,,
Bloomsbury Institute London,,,,
Bournemouth University,825.5,,,
Brunel University of London,385.0,,,
Buckinghamshire New University,,,,
Canterbury Christ Church University,1300.5,,,
Cardiff Metropolitan University,,,,
Cardiff University,181.0,,,
"City St George's, University of London",,,,
"City St George’s, University of London",310.0,,,
Courtauld Institute of Art,,,,
Coventry University,558.0,,,
Cranfield University,,,,
De Montfort University,825.5,,,
Durham University,94.0,,175.0,60.3
Edge Hill University,,,,
Edinburgh Napier University,875.5,,,
Falmouth University,,,,
Glasgow Caledonian University,1100.5,,,
Glasgow School of Art,,,,
"Goldsmiths, University of London",715.5,,,
Guildhall School of Music and Drama,,,,
Harper Adams University,1401.0,,,
Hartpury University,,,,
Heriot-Watt University,287.0,,,
Imperial College London,2.0,,8.0,94.7
Institute of Cancer Research,,,,
Keele University,825.5,,,
King's College London,31.0,,38.0,78.7
Kingston University,,,,
"Kingston University, London",660.0,,,
Lancaster University,157.0,,184.0,59.7
Leeds Arts University,,,,
Leeds Beckett University,1100.5,,,
Leeds Conservatoire,,,,
Leeds Trinity University,,,,
Liverpool Hope University,,,1501.0,
Liverpool Institute for Performing Arts,,,,
Liverpool John Moores University,875.5,,,
Liverpool School of Tropical Medicine,,,,
London Academy of Music and Dramatic Art (LAMDA),,,,
London Business School,,,,
London Film School,,,,
London Metropolitan University,1100.5,,,
London School of Economics and Political Science,56.0,,52.0,75.4
London School of Hygiene and Tropical Medicine,,,,
London South Bank University,925.5,,,
Loughborough University,225.0,,,
Manchester Metropolitan University,643.0,,,
Middlesex University,825.5,,,
National Film and Television School,,,,
New Model Institute for Technology and Engineering (NMITE),,,,
Newcastle University,137.0,,144.0,62.1
Northumbria University,,,,
Northumbria University at Newcastle,550.0,,,
Norwich University of the Arts,,,,
Nottingham Trent University,609.0,,,
Oxford Brookes University,374.0,,,
Plymouth Marjon University,,,,
Queen Margaret University,,,,
"Queen Margaret University , Edinburgh",1300.5,,,
Queen Mary University of London,,,134.0,62.9
Queen Mary University of London (QMUL),110.0,,,
Queen's University Belfast,199.0,,,
Queen’s University Belfast,,,198.0,58.8
Robert Gordon University,,,,
Rose Bruford College,,,,
Royal Academy of Dramatic Art (RADA),,,,
Royal Academy of Music,,,,
Royal Agricultural University,,,,
"Royal Central School of Speech and Drama, University of London",,,,
