university,subject,qs_subject_rank,qs_subject_score
University of Oxford,Arts & Humanities,2.0,97.7
University of Cambridge,Arts & Humanities,3.0,96.8
University of Edinburgh,Arts & Humanities,10.0,88.7
University College London,Arts & Humanities,11.0,87.9
King's College London,Arts & Humanities,17.0,84.1
University of Manchester,Arts & Humanities,36.0,81.3
Durham University,Arts & Humanities,43.0,79.6
London School of Economics and Political Science,Arts & Humanities,54.0,78.2
University of Leeds,Arts & Humanities,54.0,78.2
University of St Andrews,Arts & Humanities,58.0,78.0
University of Glasgow,Arts & Humanities,61.0,77.3
University of Warwick,Arts & Humanities,63.0,77.2
Newcastle University,Arts & Humanities,71.0,76.5
University of Birmingham,Arts & Humanities,72.0,76.2
University of York,Arts & Humanities,75.0,75.7
Lancaster University,Arts & Humanities,76.0,75.6
Queen Mary University of London,Arts & Humanities,81.0,75.3
The University of Sheffield,Arts & Humanities,82.0,74.9
University of Bristol,Arts & Humanities,88.0,74.4
The University of Exeter,Arts & Humanities,90.0,74.2
University of Reading,Arts & Humanities,92.0,74.0
University of the Arts London,Arts & Humanities,112.0,73.1
University of Nottingham,Arts & Humanities,121.0,72.3
SOAS University of London,Arts & Humanities,123.0,72.2
Oxford Brookes University,Arts & Humanities,137.0,71.4
"Goldsmiths, University of London",Arts & Humanities,141.0,71.0
University of Liverpool,Arts & Humanities,141.0,71.0
Cardiff University,Arts & Humanities,151.0,70.6
University of Southampton,Arts & Humanities,180.0,68.7
Queen's University Belfast,Arts & Humanities,194.0,68.2
Loughborough University,Arts & Humanities,207.0,67.8
Royal Holloway University of London,Arts & Humanities,224.0,66.6
University of Sussex,Arts & Humanities,246.0,65.9
University of Kent,Arts & Humanities,276.0,65.0
"Birkbeck, University of London",Arts & Humanities,285.0,64.8
University of Aberdeen,Arts & Humanities,287.0,64.7
University of Bath,Arts & Humanities,291.0,64.5
University of East Anglia (UEA),Arts & Humanities,304.0,64.2
Swansea University,Arts & Humanities,309.0,64.1
Manchester Metropolitan University (MMU),Arts & Humanities,321.0,63.7
University of Leicester,Arts & Humanities,331.0,63.2
University of Huddersfield,Arts & Humanities,339.0,63.0
"City, University of London",Arts & Humanities,345.0,62.8
"Kingston University, London",Arts & Humanities,356.0,62.6
Heriot-Watt University,Arts & Humanities,394.0,61.4
"Essex, University of",Arts & Humanities,425.5,
Nottingham Trent University,Arts & Humanities,425.5,
University of Surrey,Arts & Humanities,425.5,
Aston University,Arts & Humanities,475.5,
Northumbria University at Newcastle,Arts & Humanities,475.5,
University of Westminster,Arts & Humanities,475.5,
Coventry University,Arts & Humanities,525.5,
The Open University,Arts & Humanities,525.5,
University of Brighton,Arts & Humanities,525.5,
University of Stirling,Arts & Humanities,525.5,
University of Strathclyde,Arts & Humanities,525.5,
University of Cambridge,Archaeology,1.0,98.0
University of Oxford,Archaeology,2.0,96.8
University College London,Archaeology,3.0,96.5
Durham University,Archaeology,6.0,89.1
University of York,Archaeology,25.0,80.4
University of Edinburgh,Archaeology,29.0,80.1
The University of Sheffield,Archaeology,29.0,80.1
University of Southampton,Archaeology,36.0,78.7
University of Glasgow,Archaeology,37.0,78.6
University of Leicester,Archaeology,40.0,78.2
The University of Exeter,Archaeology,45.0,77.5
University of Reading,Archaeology,49.0,77.0
Newcastle University,Archaeology,75.5,
University of Manchester,Archaeology,75.5,
University of Aberdeen,Archaeology,75.5,
University of Liverpool,Archaeology,75.5,
University of St Andrews,Archaeology,75.5,
Cardiff University,Archaeology,125.5,
King's College London,Archaeology,125.5,
Queen's University Belfast,Archaeology,125.5,
University of Bradford,Archaeology,125.5,
University of Bristol,Archaeology,125.5,
University of Nottingham,Archaeology,125.5,
SOAS University of London,Archaeology,175.5,
University of Warwick,Archaeology,175.5,
University of Birmingham,Archaeology,175.5,
University of Stirling,Archaeology,175.5,
Bournemouth University,Archaeology,230.5,
Queen Mary University of London,Archaeology,230.5,
University of Leeds,Archaeology,230.5,
The Bartlett School of Architecture  | UCL,Architecture,1.0,97.7
Manchester School of Architecture,Architecture,5.0,89.3
University of Cambridge,Architecture,12.0,84.1
University of Oxford,Architecture,33.0,76.5
The University of Sheffield,Architecture,44.0,74.5
Cardiff University,Architecture,75.5,
Loughborough University,Architecture,75.5,
Newcastle University,Architecture,75.5,
London School of Economics and Political Science,Architecture,75.5,
University of Edinburgh,Architecture,75.5,
University of Bath,Architecture,75.5,
University of Liverpool,Architecture,75.5,
University of Nottingham,Architecture,75.5,
Heriot-Watt University,Architecture,125.5,
Oxford Brookes University,Architecture,125.5,
University of Glasgow,Architecture,125.5,
University of Leeds,Architecture,125.5,
University of Reading,Architecture,125.5,
Queen's University Belfast,Architecture,175.5,
University of Birmingham,Architecture,230.5,
University of Huddersfield,Architecture,230.5,
University of Salford,Architecture,230.5,
University of Strathclyde,Architecture,230.5,
University of Westminster,Architecture,230.5,
Royal College of Art,Art & Design,1.0,97.4
University of the Arts London,Art & Design,2.0,93.8
Glasgow School of Art (GSA),Art & Design,12.0,78.5
University of Oxford,Art & Design,27.0,72.6
University of Cambridge,Art & Design,32.0,71.9
"Goldsmiths, University of London",Art & Design,37.0,70.7
Loughborough University,Art & Design,39.0,69.1
University College London,Art & Design,44.0,67.6
Imperial College London,Art & Design,75.5,
Manchester Metropolitan University (MMU),Art & Design,75.5,
Nottingham Trent University,Art & Design,75.5,
University of Edinburgh,Art & Design,75.5,
University for the Creative Arts,Art & Design,75.5,
Falmouth College of Arts University College Falmouth,Art & Design,125.5,
"Kingston University, London",Art & Design,125.5,
Lancaster University,Art & Design,125.5,
Newcastle University,Art & Design,125.5,
The Courtauld Institute of Art,Art & Design,125.5,
University of Brighton,Art & Design,125.5,
University of Leeds,Art & Design,125.5,
University of Westminster,Art & Design,125.5,
Brunel University London,Art & Design,175.5,
Coventry University,Art & Design,175.5,
Northumbria University at Newcastle,Art & Design,175.5,
University of Glasgow,Art & Design,175.5,
Sheffield Hallam University,Art & Design,230.5,
University of Reading,Art & Design,230.5,
University of St Andrews,Classics,3.0,92.8
University of Oxford,Classics,4.0,92.6
